1a2/4/4/4/4/1PN1,6,4,,b2
1a2/4/4/4/4/1PN1,b1b2
a3/4/4/1P2/1N2/4,b2c4
a3/4/2N1/1P2/4/4,b3b4
1a2/4/2N1/1P2/4/4,c4b6
4/a3/2N1/1P2/4/4,c4a5
4/1a2/4/1P2/1N2/4,b2d3
4/4/1a2/1P1N/4/4,d3b4
4/4/a3/1P2/1N2/4,b2a4
4/1a2/4/1PN1/4/4,c3b5
4/4/a3/1PN1/4/4,c3a4
a3/4/4/NP2/4/4,a3c4
4/1a2/4/NP2/4/4,a3b5
4/4/a3/NP2/4/4,b3a4
a3/4/4/1P2/2N1/4,b3b4
a3/4/1P2/4/2N1/4,c2a1
a3/4/1P2/4/4/N3,a1c2
4/1a2/4/1P2/2N1/4,b3b4
4/1a2/1P2/4/2N1/4,c2a1
4/1a2/1P2/4/4/N3,a1c2
4/4/a3/1P2/2N1/4,b3a4
1aN1/4/4/1P2/4/4,c6d4
4/1a2/3N/1P2/4/4,d4b5
2N1/a3/4/1P2/4/4,c6a5
2a1/4/4/1P2/2N1/4,b3b4
a3/4/1N2/1P2/4/4,b4a6
4/1a2/1N2/1P2/4/4,b4a2
1a2/4/4/1P2/N3/4,a2c3
1a2/4/4/1PN1/4/4,b3b4
4/2a1/4/1P2/N3/4,a2c1
4/2a1/4/1P2/4/2N1,c1d3
4/3a/4/1P2/4/2N1,c1d3
3a/4/4/1P1N/4/4,d3b2
4/4/3a/1P1N/4/4,d3b2
4/4/2a1/1P2/4/2N1,b3c4
4/4/1a2/1P2/N3/4,a2b4
2a1/4/4/4/1P2/2N1,c1b3
2a1/4/4/1N2/1P2/4,b3a1
2a1/4/4/4/1P2/N3,a1c2
2a1/4/4/4/1PN1/4,b2b3
3a/4/4/1P2/2N1/4,c2b4
4/2a1/4/1P2/2N1/4,c2a1
4/2a1/4/1P2/4/N3,a1c2
4/3a/4/1P2/2N1/4,b3b4
4/4/2a1/1P2/2N1/4,b3c4
2a1/4/4/1P2/4/N3,a1c2
4/3a/4/1P2/4/N3,a1c2
4/4/3a/1P2/2N1/4,c2d4
4/1a2/4/1P2/4/N3,a1c2
4/4/1a2/1P2/2N1/4,c2b4
4/4/2a1/1P2/4/N3,b3c4
3a/4/4/4/1PN1/4,c2b4
3a/4/1N2/4/1P2/4,b2b3
2a1/4/1N2/4/1P2/4,b4c6
4/3a/1N2/4/1P2/4,b4d5
1a2/4/4/4/1PN1/4,c2d4
1a2/4/3N/4/1P2/4,b2b3
2a1/4/3N/4/1P2/4,d4c6
a3/4/3N/4/1P2/4,d4c6
a1N1/4/4/4/1P2/4,b2b3
1aN1/4/4/4/1P2/4,c6d4
4/1a2/3N/4/1P2/4,d4b5
2N1/a3/4/4/1P2/4,c6a5
4/2a1/4/4/1PN1/4,c2a1
4/2a1/4/4/1P2/N3,a1c2
4/3a/4/4/1PN1/4,c2a1
4/3a/4/4/1P2/N3,a1b3
4/3a/4/1N2/1P2/4,b3a1
3a/4/4/4/1P2/N3,a1c2
4/4/3a/4/1P2/N3,a1c2
4/4/3a/4/1PN1/4,c2d4
4/4/2a1/4/1PN1/4,c2a1
4/4/2a1/4/1P2/N3,a1c2
4/4/1a2/4/1PN1/4,c2b4
4/4/4/2a1/1PN1/4,b2c3
4/4/1a2/4/1P2/N3,b2b3
4/4/1a2/1P2/4/N3,a1c2
4/4/a3/1P2/4/N3,b3a4
4/4/4/2a1/1P2/N3,b2c3
4/4/4/3a/1PN1/4,c2b4
4/4/1N2/3a/1P2/4,b4d3
4/4/1N1a/4/1P2/4,b2b3
4/4/1N1a/1P2/4/4,b4c2
4/4/4/1P1a/2N1/4,c2a1
4/4/4/1P1a/4/N3,b3b4
4/4/3a/1P2/4/N3,b3b4
4/3a/1P2/4/4/N3,a1b3
4/4/4/1Pa1/4/N3,b3b4
4/4/4/1P2/3a/N3,b3b4
4/4/1Na1/1P2/4/4,b3c4
4/4/1N2/1P1a/4/4,b4d3
4/4/1N2/2a1/1P2/4,b2c3
4/4/1N2/4/1P1a/4,b2b3
4/4/1N2/1P2/3a/4,b4a2
4/4/4/1P2/N2a/4,a2b4
4/4/1N2/1P2/2a1/4,b4c2
4/4/4/1P1a/N3/4,a2c1
4/4/4/1P1a/4/2N1,c1d3
4/4/3a/1P2/4/2N1,b3b4
4/4/4/1Pa1/4/2N1,c1a2
4/4/4/1Pa1/N3/4,a2c3
4/4/2a1/1P2/N3/4,b3c4
4/4/4/1P2/N1a1/4,a2c1
4/4/4/1P2/2a1/2N1,c1a2
4/4/4/1P2/3a/2N1,c1a2
3a/4/4/1N2/1P2/4,b3d2
3a/4/4/4/1P1N/4,d2c4
3a/4/2N1/4/1P2/4,c4d6
2a1/4/2N1/4/1P2/4,b2b3
4/2a1/2N1/1P2/4/4,c4b2
4/3a/2N1/4/1P2/4,b2b3
4/4/2Na/1P2/4/4,c4d2
4/4/3a/1P2/3N/4,d2b1
4/4/3a/1P2/4/1N2,b1d2
4/3a/4/1P2/3N/4,b3b4
4/4/2a1/1P2/3N/4,d2c4
4/4/4/1P1a/3N/4,d2b1
4/4/4/1P1a/4/1N2,b3b4
4/4/4/1Pa1/4/1N2,b1c3
4/4/4/1P2/3a/1N2,b1d2
4/3a/4/1P2/4/1N2,b3b4
4/4/2a1/1P2/4/1N2,b3c4
4/4/2a1/1P2/4/4,b3c4
2a1/4/4/4/1P1N/4,d2c4
1a2/4/2N1/4/1P2/4,c4b6
4/2a1/2N1/4/1P2/4,c4a3
4/2a1/4/N3/1P2/4,b2b3
4/2a1/4/NP2/4/4,a3b1
4/2a1/4/1P2/4/1N2,b1a3
2a1/4/4/NP2/4/4,a3c2
4/3a/4/NP2/4/4,a3b1
3a/4/4/1P2/4/1N2,b1c3
4/4/2a1/NP2/4/4,a3c4
2a1/4/4/1P2/4/1N2,b3b4
2a1/4/4/N3/1P2/4,a3c2
4/3a/4/N3/1P2/4,a3b1
4/3a/4/4/1P2/1N2,b2b3
3a/4/4/4/1P2/1N2,b1c3
3a/4/4/2N1/1P2/4,c3a4
3a/4/N3/4/1P2/4,a4b6
1N1a/4/4/4/1P2/4,b6a4
2a1/4/N3/4/1P2/4,b2b3
4/3a/N3/4/1P2/4,b2b3
1Na1/4/4/4/1P2/4,b6a4
1a2/4/N3/4/1P2/4,a4b6
4/2a1/N3/4/1P2/4,a4c5
1N2/3a/4/4/1P2/4,b6d5
2a1/4/4/2N1/1P2/4,c3a4
4/3a/4/2N1/1P2/4,c3d5
4/2a1/4/4/1P2/1N2,b1a3
4/1a2/4/N3/1P2/4,a3b5
4/4/2a1/N3/1P2/4,a3c4
4/4/3a/4/1P2/1N2,b2b3
4/3a/4/4/1P1N/4,d2b3
4/2a1/4/1N2/1P2/4,b3c5
4/4/3a/1N2/1P2/4,b3d4
4/1a2/4/4/1PN1/4,b2b3
4/1a2/4/4/1P2/N3,a1c2
4/a3/4/4/1PN1/4,c2d4
4/a3/3N/4/1P2/4,b2b3
4/4/a2N/1P2/4/4,b3a4
4/4/a2N/4/1P2/4,d4c2
4/4/a3/4/1PN1/4,c2a1
4/4/a3/4/1P2/N3,a1c2
4/4/4/a3/1PN1/4,c2a3
4/a3/4/4/1P2/N3,b2b3
4/a3/4/1P2/4/N3,a1c2
a3/4/4/1P2/4/N3,a1c2
4/4/4/a3/1P2/N3,b2a3
1a2/4/4/4/1P2/N3,a1c2
a3/4/4/4/1PN1/4,c2a3
a3/4/4/N3/1P2/4,a3c4
a3/4/2N1/4/1P2/4,b2b3
4/a3/2N1/4/1P2/4,c4a5
1a2/4/4/N3/1P2/4,b2b3
1a2/4/4/NP2/4/4,b3b4
4/a3/4/N3/1P2/4,b2b3
1a2/4/4/1N2/1P2/4,b3d4
a3/4/4/4/1P2/2N1,c1d3
a3/4/4/3N/1P2/4,b2b3
1a2/4/4/3N/1P2/4,d3c1
4/1a2/4/4/1P2/2N1,c1d3
4/1a2/4/3N/1P2/4,b2b3
4/2a1/4/3N/1P2/4,d3c5
4/a3/4/3N/1P2/4,d3c5
4/a1N1/4/4/1P2/4,b2b3
4/a1N1/4/1P2/4/4,c5d3
a3/2N1/4/1P2/4/4,c5a6
4/1aN1/4/1P2/4/4,c5d3
4/2N1/a3/1P2/4/4,c5a4
a3/2N1/4/4/1P2/4,c5a6
4/1aN1/4/4/1P2/4,c5d3
4/4/1a2/3N/1P2/4,d3b4
4/2N1/a3/4/1P2/4,c5a4
2a1/4/4/4/4/1PN1,c1b3
2a1/4/4/1N2/4/1P2,b1b2
3a/4/4/1N2/4/1P2,b3d2
3a/4/4/4/3N/1P2,b1b2
2a1/4/4/4/3N/1P2,d2b3
1a2/4/4/1N2/4/1P2,b3d4
1a2/4/3N/4/4/1P2,b1b2
2a1/4/3N/4/4/1P2,d4c6
a3/4/3N/4/4/1P2,d4c2
a3/4/4/4/2N1/1P2,c2d4
4/a3/3N/4/4/1P2,d4c2
4/a3/4/4/2N1/1P2,c2a3
4/a3/4/N3/4/1P2,a3c2
4/1a2/4/4/2N1/1P2,b1b2
4/4/a3/4/2N1/1P2,c2d4
4/4/a2N/4/4/1P2,d4c6
2N1/4/a3/4/4/1P2,c6d4
4/4/1a1N/4/4/1P2,b1b2
4/4/1a1N/4/1P2/4,b2b3
4/4/1a1N/1P2/4/4,d4c2
4/4/2aN/1P2/4/4,b3c4
4/4/2aN/4/1P2/4,d4c2
4/4/3N/1a2/1P2/4,d4b3
4/4/3N/a3/4/1P2,d4b5
4/1N2/4/a3/4/1P2,b5a3
4/1N2/a3/4/4/1P2,b5d6
3N/4/a3/4/4/1P2,d6c4
4/4/a1N1/4/4/1P2,c4d2
4/4/a3/4/3N/1P2,d2c4
4/a3/2N1/4/4/1P2,c4a5
4/4/1aN1/4/4/1P2,c4d2
4/4/1a2/4/3N/1P2,b1b2
4/4/1a2/4/1P1N/4,b2b3
4/4/1a2/1P2/3N/4,d2b1
4/4/1a2/1P2/4/1N2,b1d2
4/1a2/4/1P2/3N/4,d2b1
1a2/4/4/1P2/4/1N2,b1c3
4/4/a3/1P2/3N/4,b3a4
4/1a2/4/4/1P1N/4,d2b1
4/1a2/4/4/1P2/1N2,b1d2
1a2/4/4/4/1P1N/4,d2b1
1a2/4/4/4/1P2/1N2,b1c3
1a2/4/4/2N1/1P2/4,b2b3
a3/4/4/2N1/1P2/4,c3a4
a3/4/N3/4/1P2/4,a4c3
4/a3/4/2N1/1P2/4,b2b3
4/a3/N3/4/1P2/4,a4c3
4/1a2/4/2N1/1P2/4,c3b5
4/4/a3/2N1/1P2/4,c3a4
2a1/4/4/4/1P2/1N2,b2b3
a3/4/4/4/1P2/1N2,b1a3
4/2a1/4/4/1P1N/4,d2b1
4/4/2a1/4/1P2/1N2,b1d2
4/4/2a1/4/1P1N/4,d2c4
4/4/3a/4/1P1N/4,b2b3
4/4/4/2a1/1P1N/4,b2c3
4/a3/4/4/1P1N/4,d2b1
4/a3/4/4/1P2/1N2,b1c3
4/4/a3/4/1P2/1N2,b1d2
4/4/a3/4/1P1N/4,d2b1
4/4/1a2/4/1P2/1N2,b1d2
4/4/4/1a2/1P1N/4,d2b3
4/4/4/a3/1P2/1N2,b1a3
4/4/4/a3/1P1N/4,b2a3
4/1a2/4/4/3N/1P2,d2b3
4/1a2/4/1N2/4/1P2,b3a1
4/1a2/4/4/4/NP2,a1c2
1a2/4/4/4/2N1/1P2,c2d4
4/1a2/3N/4/4/1P2,d4b5
4/2a1/4/4/2N1/1P2,c2a3
4/2a1/4/N3/4/1P2,a3c2
2a1/4/4/4/2N1/1P2,c2a1
2a1/4/4/4/4/NP2,a1b3
4/2a1/4/1N2/4/1P2,b3c5
3a/4/4/4/4/NP2,a1c2
3a/4/4/4/2N1/1P2,c2b4
3a/4/1N2/4/4/1P2,b1b2
2a1/4/1N2/4/4/1P2,b4c6
4/3a/1N2/4/4/1P2,b4d5
4/3a/4/4/2N1/1P2,c2a3
4/3a/4/N3/4/1P2,a3c2
4/4/3a/4/2N1/1P2,c2d4
3a/4/4/N3/4/1P2,a3c2
4/4/3a/N3/4/1P2,b1b2
4/4/3a/N3/1P2/4,b2b3
4/4/3a/NP2/4/4,a3b1
4/4/4/NP1a/4/4,a3b1
4/4/4/N2a/1P2/4,a3b1
4/4/4/3a/1P2/1N2,b2b3
4/4/4/2a1/1P2/1N2,b1c3
4/4/4/4/1P1a/1N2,b1d2
1a2/4/4/4/4/NP2,a1c2
4/2a1/4/4/4/NP2,a1c2
4/4/2a1/4/2N1/1P2,c2a1
4/4/2a1/4/4/NP2,a1c2
4/4/1a2/4/2N1/1P2,c2b4
4/4/4/2a1/2N1/1P2,c2a1
4/4/4/2a1/4/NP2,a1c2
4/4/4/3a/2N1/1P2,c2a3
4/4/4/N2a/4/1P2,a3b5
4/1N2/4/3a/4/1P2,b1b2
4/1N2/4/3a/1P2/4,b5a3
4/4/4/N1a1/1P2/4,b2c3
4/4/4/N3/1P1a/4,b2b3
4/4/4/NP2/3a/4,b3b4
4/4/4/NP2/2a1/4,a3c2
4/1N2/3a/4/1P2/4,b5d4
4/1N2/4/2a1/1P2/4,b5c3
4/1N2/4/4/1P1a/4,b5a3
4/4/4/N3/1Pa1/4,a3c2
4/1N2/3a/4/4/1P2,b5d4
4/1N2/4/2a1/4/1P2,b5c3
4/1N2/4/4/3a/1P2,b5d4
4/4/3N/4/3a/1P2,d4b5
4/1N2/4/4/2a1/1P2,b1c2
4/4/3N/3a/4/1P2,d4b5
4/4/3N/4/2a1/1P2,d4c2
4/4/4/N1a1/4/1P2,a3c2
4/4/4/1a2/2N1/1P2,c2a1
4/4/4/1a2/4/NP2,a1b3
4/4/1a2/4/4/NP2,b1b2
4/4/4/1a2/1P2/N3,a1b3
4/4/4/a3/4/NP2,a1c2
4/4/4/a3/2N1/1P2,c2a3
4/4/4/4/a1N1/1P2,b1a2
4/4/4/4/2a1/1P2,b1c2
4/4/4/N3/3a/1P2,a3b5
4/4/4/3a/4/NP2,b1b2
4/4/4/3a/1P2/N3,a1b3
4/4/4/1N1a/1P2/4,b3a1
4/4/4/4/1P1a/N3,b2b3
4/4/4/1P2/2a1/N3,a1c2
4/4/4/1Na1/1P2/4,b2c3
4/4/4/1N2/1P1a/4,b3d2
4/4/4/4/2a1/NP2,a1c2
4/4/3a/4/4/NP2,b1b2
2a1/4/4/N3/4/1P2,a3c2
4/1a2/4/N3/4/1P2,a3b5
4/4/2a1/N3/4/1P2,a3c4
4/a3/4/4/4/NP2,a1c2
4/a3/4/1N2/4/1P2,b3a5
4/4/1a2/1N2/4/1P2,b3a1
4/4/a3/4/4/NP2,a1c2
4/4/2a1/4/3N/1P2,d2c4
4/4/4/1a2/3N/1P2,d2b3
4/4/2N1/a3/4/1P2,c4a3
4/a3/4/4/3N/1P2,d2b3
a3/4/4/1N2/4/1P2,b3c5
a3/2N1/4/4/4/1P2,c5a6
1a2/2N1/4/4/4/1P2,c5d3
1a2/4/4/3N/4/1P2,d3c1
a3/4/4/4/4/1PN1,c1a2
a3/4/4/4/N3/1P2,a2c1
4/a3/4/4/4/1PN1,c1a2
4/a3/4/4/N3/1P2,a2c3
4/a3/4/2N1/4/1P2,c3a2
4/1a2/4/4/N3/1P2,a2c1
4/1a2/4/4/4/1PN1,c1a2
1a2/4/4/4/N3/1P2,a2c3
1a2/4/4/2N1/4/1P2,b1b2
2a1/4/4/2N1/4/1P2,c3a4
2a1/4/N3/4/4/1P2,b1b2
3a/4/N3/4/4/1P2,a4b6
1N1a/4/4/4/4/1P2,b6a4
4/3a/N3/4/4/1P2,b1b2
4/4/N2a/4/1P2/4,a4b6
1N2/4/3a/4/1P2/4,b2b3
1N2/4/3a/1P2/4/4,b6a4
1N2/3a/4/1P2/4/4,b6d5
1N2/4/2a1/1P2/4/4,b6c4
1N2/4/4/1P1a/4/4,b6d5
4/3N/4/1P1a/4/4,d5b6
1N2/4/4/1Pa1/4/4,b6a4
4/4/N3/1Pa1/4/4,a4c3
4/4/N3/1P2/2a1/4,a4b2
4/4/4/1P2/1Na1/4,b2d1
4/4/4/1P2/2a1/3N,d1b2
4/4/4/1Pa1/1N2/4,b2d1
4/4/4/1Pa1/4/3N,d1c3
4/4/2a1/1P2/4/3N,b3c4
4/4/4/1P1a/4/3N,d1b2
4/4/4/1P2/1N1a/4,b2d1
4/4/4/1P2/3a/3N,d1b2
1N2/4/4/1P2/3a/4,b6a4
4/4/N3/1P2/3a/4,a4c5
4/2N1/4/1P2/3a/4,c5d3
4/4/4/1P1N/3a/4,d3b4
4/4/4/1P1a/4/4,b3b4
4/4/1P2/3a/4/4,b4b5
4/4/4/1P1N/2a1/4,d3c1
4/2N1/4/1P1a/4/4,c5d3
4/2N1/4/1P2/2a1/4,c5d3
4/4/4/1PaN/4/4,d3c1
4/3N/3a/1P2/4/4,d5b4
4/3N/4/1Pa1/4/4,d5c3
4/3N/4/1P2/3a/4,d5b4
1N2/4/2a1/4/1P2/4,b6c4
1N2/4/4/3a/1P2/4,b6d5
4/3N/4/3a/1P2/4,d5b4
4/3N/3a/4/1P2/4,d5b4
4/4/1Na1/4/1P2/4,b4c2
4/3N/4/2a1/1P2/4,d5c3
4/3N/4/4/1P1a/4,d5b4
4/4/1N2/4/1Pa1/4,b4c2
1Na1/4/4/4/4/1P2,b6a4
1a2/4/N3/4/4/1P2,a4b6
4/2a1/N3/4/4/1P2,a4c5
1N2/3a/4/4/4/1P2,b6d5
a3/4/4/2N1/4/1P2,c3a4
a3/4/N3/4/4/1P2,b1b2
4/a3/N3/4/4/1P2,a4c3
4/1a2/4/2N1/4/1P2,c3b5
4/4/a3/2N1/4/1P2,c3a4
4/2a1/4/4/N3/1P2,a2c1
4/2a1/4/4/4/1PN1,c1a2
2a1/4/4/4/N3/1P2,a2c1
3a/4/4/4/4/1PN1,c1a2
3a/4/4/4/N3/1P2,a2b4
4/3a/4/4/N3/1P2,a2c1
4/3a/4/4/4/1PN1,c1d3
4/3a/4/3N/4/1P2,d3b4
4/2a1/1N2/4/4/1P2,b4a2
4/4/2a1/4/N3/1P2,b1b2
4/4/2a1/4/NP2/4,a2c1
4/4/2a1/4/1P2/2N1,c1a2
4/2a1/4/4/NP2/4,a2c1
4/2a1/4/4/1P2/2N1,b2b3
4/3a/4/4/1P2/2N1,c1b3
4/4/3a/4/NP2/4,a2c1
4/4/3a/4/1P2/2N1,b2b3
4/4/4/3a/1P2/2N1,c1d3
4/4/1a2/4/NP2/4,a2b4
4/4/4/2a1/NP2/4,a2c3
4/4/1a2/4/1P2/2N1,b2b3
4/4/1a2/1P2/4/2N1,c1a2
4/4/4/2a1/1P2/2N1,b2c3
4/4/1N1a/4/4/1P2,b4c6
2N1/4/3a/4/4/1P2,c6d4
2N1/3a/4/4/4/1P2,c6a5
4/N2a/4/4/4/1P2,a5b3
4/3a/4/1N2/4/1P2,b1b2
4/4/3a/1N2/4/1P2,b3d4
3a/N3/4/4/4/1P2,a5b3
4/N1a1/4/4/4/1P2,b1b2
4/N1a1/4/4/1P2/4,a5b3
4/1a2/4/1N2/1P2/4,b3a1
4/4/2a1/1N2/1P2/4,b3a1
2a1/N3/4/4/1P2/4,a5c6
4/N2a/4/4/1P2/4,a5b3
4/Na2/4/4/1P2/4,a5b3
4/a3/4/1N2/1P2/4,b3a5
4/4/1a2/1N2/1P2/4,b3d2
4/N3/2a1/4/1P2/4,a5c4
4/N3/3a/4/4/1P2,b1b2
4/N3/3a/4/1P2/4,b2b3
4/N3/3a/1P2/4/4,b3b4
4/N3/1Pa1/4/4/4,a5c4
4/N2a/4/1P2/4/4,a5c4
4/N3/2a1/1P2/4/4,a5c4
4/N3/4/1P1a/4/4,a5c6
2N1/4/4/1P1a/4/4,b3b4
2N1/4/3a/1P2/4/4,c6d4
2N1/4/4/1Pa1/4/4,c6d4
4/4/3N/1Pa1/4/4,b3b4
4/4/3a/1P2/4/4,b3b4
4/3a/1P2/4/4/4,b4b5
3a/1P2/4/4/4/4,b5b6
4/1Pa1/4/4/4/4,b5b6
4/4/1Pa1/4/4/4,b4b5
4/4/3N/1P1a/4/4,d4b5
4/1N2/4/1P1a/4/4,b3b4
4/1N2/3a/1P2/4/4,b5d4
4/1N2/4/1Pa1/4/4,b5c3
4/1N2/4/1P2/3a/4,b5d4
4/4/3N/1P2/3a/4,b3b4
4/4/3N/1P2/2a1/4,d4c2
2N1/4/4/1P2/3a/4,c6d4
4/N3/4/3a/1P2/4,a5b3
2N1/4/2a1/4/4/1P2,b1b2
2N1/4/2a1/4/1P2/4,c6d4
4/2a1/3N/4/1P2/4,d4c2
4/4/3a/4/1P2/4,b2b3
4/3a/4/1P2/4/4,b3b4
3a/4/1P2/4/4/4,b4b5
4/2a1/1P2/4/4/4,b4c5
4/4/3N/2a1/1P2/4,b2c3
2N1/2a1/4/4/1P2/4,c6a5
2N1/4/3a/4/1P2/4,c6d4
2N1/4/1a2/4/1P2/4,c6b4
2N1/4/4/2a1/1P2/4,b2c3
2N1/4/4/3a/4/1P2,b1b2
2N1/4/4/3a/1P2/4,c6b4
2N1/4/4/4/1P1a/4,c6d4
4/4/3N/4/1P1a/4,b2b3
4/4/3N/3a/1P2/4,d4b5
4/4/3N/4/1Pa1/4,d4c2
3a/4/4/3N/4/1P2,d3b4
4/2a1/4/3N/4/1P2,d3c5
4/4/3a/3N/4/1P2,d3c1
4/4/3a/4/4/1PN1,c1a2
4/4/3a/4/N3/1P2,a2c1
4/4/2a1/4/4/1PN1,c1a2
4/4/1a2/4/N3/1P2,a2b4
4/4/4/2a1/N3/1P2,a2c3
4/4/4/3a/4/1PN1,c1d3
4/4/4/3a/N3/1P2,b1b2
4/4/4/3a/NP2/4,b2b3
4/4/3a/1P2/N3/4,a2c1
4/4/4/4/NP1a/4,a2b4
4/4/1a2/4/4/1PN1,b1b2
4/4/a3/4/1P2/2N1,c1d3
4/4/a3/3N/1P2/4,d3c1
4/a3/4/4/1P2/2N1,b2b3
4/4/4/a3/1P2/2N1,b2a3
4/4/4/a2N/1P2/4,b2a3
4/4/4/1a2/1P2/2N1,c1b3
4/4/a3/4/N3/1P2,b1b2
4/4/a3/4/NP2/4,a2c1
4/a3/4/4/NP2/4,a2c3
4/4/4/a3/NP2/4,b2a3
2a1/4/4/3N/4/1P2,b1b2
2a1/4/4/3N/1P2/4,d3c1
3a/4/4/4/1P2/2N1,c1a2
3a/4/4/4/NP2/4,a2b4
2a1/4/4/4/NP2/4,a2c1
4/3a/4/4/NP2/4,a2c1
3a/4/4/3N/1P2/4,d3b4
a3/4/4/3N/4/1P2,d3c1
4/1a2/4/3N/4/1P2,b1b2
4/a1N1/4/4/4/1P2,b1b2
4/4/a3/1N2/4/1P2,b3d2
4/4/4/a3/3N/1P2,d2b3
4/4/4/aN2/4/1P2,b3c5
4/2N1/4/a3/4/1P2,c5b3
4/4/4/1a2/4/1P2,b1b2
4/4/4/1a2/1P2/4,b2b2
4/4/1a2/4/1P2/4,b2b3
4/4/1a2/1P2/4/4,b3b3
4/1a2/4/1P2/4/4,b3b4
4/1a2/1P2/4/4/4,b4b4
1a2/4/1P2/4/4/4,b4b5
1a2/1P2/4/4/4/4,b5b5
a3/1P2/4/4/4/4,b5a6
4/a3/1P2/4/4/4,b4a5
4/4/a3/1P2/4/4,b3a4
4/4/4/2a1/1P2/4,b2c3
4/4/4/a3/1P2/4,b2a3
4/4/4/1N2/a3/1P2,b1a2
4/2N1/a3/4/4/1P2,c5a4
4/2N1/4/1a2/4/1P2,c5b3
4/2N1/4/4/a3/1P2,b1a2
3N/a3/4/4/4/1P2,b1b2
3N/a3/4/4/1P2/4,b2b3
3N/a3/4/1P2/4/4,d6c4
4/1a2/2N1/1P2/4/4,c4b2
4/4/1a2/1P2/1N2/4,b2d1
4/4/1a2/1P2/4/3N,d1b2
4/1a2/4/1P2/4/3N,d1b2
4/4/a3/1P2/4/3N,b3a4
4/4/a1N1/1P2/4/4,b3a4
a2N/4/4/1P2/4/4,d6c4
3N/1a2/4/1P2/4/4,d6b5
3N/4/a3/1P2/4/4,b3a4
a2N/4/4/4/1P2/4,d6c4
3N/1a2/4/4/1P2/4,d6b5
3N/4/a3/4/1P2/4,d6c4
4/4/a1N1/4/1P2/4,c4d2
4/4/1aN1/4/1P2/4,c4d2
4/4/2N1/a3/1P2/4,b2a3
3N/4/1a2/4/4/1P2,d6c4
4/1a2/2N1/4/4/1P2,c4d2
1a2/4/4/4/3N/1P2,d2b3
4/2a1/4/4/3N/1P2,b1b2
4/4/2a1/4/4/1P2,b1b2
4/4/2a1/4/1P2/4,b2b3
4/2a1/4/1P2/4/4,b3b4
2a1/4/1P2/4/4/4,b4b5
4/4/4/1Pa1/4/4,b3b4
4/4/1P2/4/2a1/4,b4b5
4/2a1/4/4/1P2/4,b2b3
2a1/4/4/1P2/4/4,b3b4
4/4/2N1/1a2/4/1P2,c4b2
4/4/4/1a2/1N2/1P2,b2a4
4/4/N3/1a2/4/1P2,a4b2
4/4/1a2/4/1N2/1P2,b2d1
4/4/1a2/4/4/1P1N,d1b2
4/1a2/4/4/1N2/1P2,b2d3
4/a3/4/3N/4/1P2,d3b2
4/a3/4/4/1N2/1P2,b2d3
4/4/a3/3N/4/1P2,b1b2
a3/4/4/4/1N2/1P2,b2a4
4/4/a3/4/1N2/1P2,b2a4
4/4/2a1/4/1N2/1P2,b2c4
4/1a2/4/4/4/1P1N,d1b2
1a2/4/4/4/1N2/1P2,b2d3
4/2a1/4/4/1N2/1P2,b2d3
4/4/2a1/3N/4/1P2,d3c1
4/4/4/2a1/4/1PN1,c1a2
4/4/2a1/4/4/1P1N,d1b2
4/4/3a/4/1N2/1P2,b2a4
4/4/N2a/4/4/1P2,a4b6
1N2/4/3a/4/4/1P2,b1b2
1N2/4/2a1/4/4/1P2,b6c4
1N2/4/4/3a/4/1P2,b6d5
4/3N/4/3a/4/1P2,b1b2
4/3N/3a/4/4/1P2,d5b6
4/3N/4/2a1/4/1P2,d5c3
4/3N/4/4/3a/1P2,d5b4
4/4/1N2/4/3a/1P2,b4a2
4/4/4/4/N2a/1P2,a2b4
4/4/1N2/3a/4/1P2,b4d3
4/4/1N2/4/2a1/1P2,b4c2
4/4/4/4/N1a1/1P2,b1c2
4/4/N1a1/4/4/1P2,b1b2
4/4/N1a1/4/1P2/4,a4b6
1N2/2a1/4/4/1P2/4,b6a4
4/1a2/N3/4/1P2/4,b2b3
4/1a2/N3/1P2/4/4,a4c3
4/2a1/4/1PN1/4/4,c3b1
4/4/1a2/1PN1/4/4,c3b1
4/4/Na2/1P2/4/4,a4b2
1N2/4/1a2/4/1P2/4,b6a4
4/4/Na2/4/1P2/4,a4c5
4/2N1/1a2/4/1P2/4,c5a6
N3/4/1a2/4/1P2/4,a6b4
N3/1a2/4/4/1P2/4,a6c5
1a2/2N1/4/4/1P2/4,c5d3
N3/4/2a1/4/1P2/4,a6c5
4/2N1/2a1/4/1P2/4,c5a6
N3/2a1/4/4/1P2/4,a6c5
N3/4/3a/4/1P2/4,a6b4
N3/4/4/2a1/1P2/4,b2c3
4/2N1/3a/4/1P2/4,c5b3
4/2N1/4/2a1/1P2/4,b2c3
N3/4/a3/4/1P2/4,a6c5
4/2N1/4/a3/1P2/4,b2a3
N3/4/4/1a2/1P2/4,a6b4
4/4/1N2/1a2/1P2/4,b4a2
4/4/4/1a2/NP2/4,a2c1
4/4/4/4/aP2/4,b2b3
4/4/4/1P2/a3/4,b3b4
4/4/1P2/4/a3/4,b4b5
4/4/4/aP2/4/4,b3b4
4/4/1N2/a3/1P2/4,b2a3
4/2N1/4/1a2/1P2/4,c5b3
4/4/a3/4/1P2/4,b2b3
4/a3/4/1P2/4/4,b3b4
a3/4/1P2/4/4/4,b4b5
4/4/N3/1a2/1P2/4,a4c3
